,symbol,atomic_number,atomic_radius,density,atomic_volume,atomic_weight,boiling_point,dipole_polarizability,electron_affinity,en_pauling,evaporation_heat,fusion_heat,glawe_number,heat_of_formation,lattice_constant,mass_number,melting_point,metallic_radius,molar_heat_capacity,specific_heat_capacity,thermal_conductivity,vdw_radius,Bulk modulus,Young modulus,Molar_volume,VEC
0,Ag,47,160,10.5,10.3,107.8682,2485,55,1.302,1.93,254.1,11.95,67,284.9,4.09,107,1235.1,134,25.35,0.235,429,211,100,83,1028,11
1,Zr,40,155,6.52,14.1,91.224,4650,112,0.426,1.33,567,19.2,49,610,3.23,90,2125,145,25.36,0.278,22.7,223,94,68,1401,4
2,Al,13,125,2.7,10,26.9815385,2740,57.8,0.43283,1.61,284.1,10.75,78,330.9,4.05,21,933.5,125,24.2,0.897,237,184,76,70,999,3
3,Cr,24,140,7.15,7.23,51.9961,2945,83,0.666,1.66,342,21,55,397.48,2.88,52,2130,119,23.35,0.449,93.9,206,160,279,723,6
4,Fe,26,140,7.87,7.1,55.845,3023,62,0.151,1.83,340,13.8,71,415.5,2.87,56,1808,117,25.1,0.449,80.4,204,170,211,709,8
5,Hf,72,155,13.3,13.6,178.49,5470,103,0.014,1.3,575,25.1,50,618.4,3.2,180,2503,144,25.73,0.144,23,223,110,78,1341,4
6,Ti,22,140,4.506,10.6,47.867,3560,100,0.079,1.54,422.6,18.8,51,473,2.95,48,1933,132,25.06,0.523,21.9,211,110,116,1724,4
7,W,74,135,19.3,9.53,183.84,5930,68,0.81626,1.7,824,35,57,851,3.16,184,3680,130,24.27,0.132,173,218,310,411,955,6
8,V,23,135,6,8.35,50.9415,3650,87,0.525,1.63,460,17.5,54,515.5,3.02,51,2160,122,24.89,0.489,30.7,207,160,128,833,5
9,Nb,41,145,8.57,10.8,92.90637,5015,98,0.917406,1.6,680,26.8,53,733,3.3,79,2741,134,24.6,0.265,53.7,218,170,105,1084,5
10,Ta,73,145,16.4,10.9,180.94788,5698,74,0.322,1.5,758,24.7,52,782,3.31,181,3269,134,25.36,0.14,57.5,222,200,186,1086,5
11,Mo,42,145,10.2,9.4,95.95,4885,87,0.748,2.16,590,28,56,658.98,3.15,98,2890,130,24.06,0.251,139,217,230,329,933,6
12,Au,79,135,19.3,10.2,196.966569,3080,36,2.30863,2.4,340,12.68,66,368.2,4.08,168,1337.58,134,25.418,0.129,318,214,220,78,1021,1
13,Ba,56,215,3.62,39,137.327,1910,272,0.14462,0.89,142,7.66,14,179.1,5.02,138,1002,198,28.07,0.204,18,268,9.6,13,3912,2
14,Ca,20,180,1.54,29.9,40.078,1757,160.8,0.02455,1,153.6,9.2,16,177.8,5.58,40,1112,174,25.929,0.647,200,231,17,20,2585,2
15,Eu,63,185,5.24,28.9,151.964,1870,184,0.864,1.19,176,9.3,17,177.4,4.61,153,1095,,27.66,0.182,13.9,235,8.3,18,2897,9
16,Sr,38,200,2.64,33.7,87.62,1657,197.2,0.048,0.95,144,9.2,15,164,6.08,88,1042,191,26.79,0.306,35,249,11,15,3331,2
17,Yb,70,175,6.9,24.8,173.045,1466,139,-0.02,1.26,159,3.35,18,155.6,5.49,174,1097,,26.74,0.155,39,226,31,24,2633,3
18,Be,4,105,1.85,5,9.0121831,3243,37.74,-2.4,1.57,309,12.21,77,324,2.29,5,1551,89,16.443,1.825,201,153,130,287,487,2
19,Co,27,135,8.86,6.7,58.933194,3143,55,0.66225646,1.88,389.1,15.48,70,426.7,2.51,47,1768,116,24.81,0.421,100,200,180,209,662,9
20,Mn,25,140,7.3,7.39,54.938044,2235,68,-0.5,1.55,221,13.4,72,283.3,8.89,43,1517,118,26.32,0.479,7.7,205,120,198,735,7
21,Ru,44,130,12.1,8.3,101.07,4173,72,1.05,2.2,580,25.5,61,650.6,2.7,102,2583,125,24.06,0.238,117,213,220,447,817,8
22,Re,75,135,20.8,8.85,186.207,5900,62,0.15,1.9,704,34,58,774,2.76,187,3453,128,25.48,0.137,48,216,370,463,885,7
23,Ir,77,135,22.5622,8.54,192.217,4403,54,1.5638,2.2,604,27.61,62,669,3.84,193,2683,127,25.1,0.131,147,213,320,528,852,9
24,Os,76,130,22.5872,8.43,190.23,5300,57,1.1,2.2,738,31.7,60,787,2.74,192,3327,126,24.7,0.13,87,216,401,550,842,8
25,Cs,55,260,1.873,70,132.905452,951.6,400.9,0.471626,0.79,68.3,2.09,8,76.5,6.05,111,301.6,235,32.21,0.242,35.9,343,1.6,1.7,7073,1
26,Rb,37,235,1.53,55.9,85.4678,961,319.8,0.48592,0.82,75.8,2.2,9,80.9,5.59,85,312.2,216,31.06,0.363,58.2,303,2.5,2.4,5578,1
27,Zn,30,135,7.134,9.2,65.38,1180,38.67,-0.6,1.65,114.8,7.28,74,130.4,2.66,64,692.73,121,25.39,0.388,116,201,70,108,915,12
28,Si,14,110,2.3296,12.1,28.085,2628,37.3,1.3895211,1.9,383,50.6,85,450,5.43,28,1683,117,19.99,0.712,149,210,100,47,1205,4
29,Ga,31,130,5.91,11.8,69.723,2676,50,0.43,1.81,270.3,5.59,79,271.96,4.51,69,302.93,125,26.03,0.373,28.1,187,50,9.8,1180,3
30,Rh,45,135,12.4,8.3,102.9055,4000,66,1.137,2.28,494,21.8,63,556,3.8,88,2239,125,24.98,0.243,150,210,380,275,826,9
31,Li,3,145,0.534,13.1,6.94,1118.15,164.1125,0.618049,0.98,148,2.89,12,159.3,3.49,7,553.69,123,24.86,3.582,84.8,182,11,4.9,1297,1
32,Mg,12,150,1.74,14,24.305,1363,71.2,-0.4,1.31,131.8,9.2,73,147.1,3.21,24,922,136,24.869,1.023,156,173,45,45,1398,2
33,Tc,43,135,11,8.5,97.90721,5150,79,0.55,2.1,585,23.8,59,678,2.74,83,2445,127,24,0.063,50.6,216,300,380,843,7
34,Pd,46,140,12,8.9,106.42,3413,26.14,0.562,2.2,372.4,17.24,65,376.6,3.89,106,1825,128,25.98,0.246,71.8,210,180,121,885,10
35,Nd,60,185,7.01,20.6,144.242,3341,208,1.916,1.14,289,7.1,29,326.9,3.66,142,1294,,27.45,0.19,17,239,32,41,2057,6
36,Th,90,180,11.7,19.8,232.0377,5060,217,0.607,1.3,513.7,16.11,34,602,5.08,232,2028,,27.32,0.118,54,245,54,79,1979,4
37,Pr,59,185,6.773,20.8,140.90766,3785,216,0.962,1.13,331,11.3,30,356.9,3.67,121,1204,,27.2,0.193,12.5,240,29,37,2122,3
38,Pt,78,135,21.5,9.1,195.084,4100,48,2.128,2.2,470,21.76,64,565.7,3.92,195,2045,130,25.86,0.133,71.6,213,230,168,909,10
39,Pu,94,175,19.7,12.32,244,3505,132,-0.5,1.3,343.5,2.8,38,345,3.21,221,914,,25.5,0.98,6,243,33,96,1231,8
40,Sc,21,160,2.99,15,44.955908,3104,97,0.188,1.36,332.7,15.8,48,377.8,3.31,35,1814,144,25.52,0.568,15.8,215,57,74,1506,3
41,Y,39,180,4.47,19.8,88.90584,3611,162,0.307,1.22,367,11.5,21,424.7,3.65,75,1795,162,26.53,0.298,17,232,41,64,1988,3
42,Sm,62,185,7.52,19.9,150.36,2064,192,0.162,1.17,165,8.9,27,206.7,9,152,1350,,29.54,0.197,13,236,38,50,2044,8
43,Tb,65,175,8.23,19.2,158.92535,3296,170,1.165,1.1,389,10.8,25,388.7,3.6,135,1629,,28.91,0.182,11.1,233,38.7,56,1933,11
44,U,92,175,19.1,12.5,238.02891,4018,129,0.314,1.7,417,12.6,36,533,2.85,238,1405.5,,27.665,0.116,27.5,241,100,208,1249,6
45,Cd,48,155,8.69,13.1,112.414,1038,46,-0.7,1.69,59.1,6.11,75,111.8,2.98,114,594.1,138,26.02,0.232,96.9,218,42,50,1299,12
46,In,49,155,7.31,15.7,114.818,2353,65,0.3,1.78,225.1,3.24,80,243,4.59,115,429.32,142,26.74,0.233,81.8,193,30,11,1570,3
47,Cu,29,135,8.96,7.1,63.546,2840,46.5,1.235,1.9,304.6,13.01,68,337.4,3.61,63,1356.6,118,24.44,0.385,401,196,140,130,709,11
48,Ni,28,135,8.9,6.6,58.6934,3005,49,1.156,1.91,378.6,17.61,69,430.1,3.52,58,1726,115,26.07,0.444,90.9,197,180,200,658,10
49,Ge,32,125,5.3234,13.6,72.63,3103,40,1.232712,2.01,328,36.8,84,372,5.66,74,1210.6,124,23.222,0.32,60.2,211,59.9,75,1364,4
50,Pb,82,180,11.3,18.3,207.2,2013,47,0.35674316,1.8,177.8,4.77,82,195.2,4.95,208,600.65,150,26.84,0.13,35.3,202,46,16,1827,4
51,Tl,81,190,11.8,17.2,204.38,1730,50,0.377,1.8,162.4,4.31,81,182.2,3.46,205,576.6,144,26.32,0.129,46.1,196,43,8,1724,4
52,Dy,66,175,8.55,19,162.5,2835,163,0.352,1.22,291,11.1,24,290.4,3.59,164,1685,,28.16,0.173,10.7,231,41,61,1900,12
53,Gd,64,180,7.9,19.9,157.25,3539,158,0.137,1.2,398,10,26,397.5,3.64,158,1586,,37.03,0.236,11,234,38,55,1990,3
54,Ho,67,175,8.8,18.7,164.93033,2968,156,0.338,1.23,301,17,23,300.6,3.58,140,1747,,27.15,0.165,16,230,40,65,1875,13
55,Lu,71,175,9.84,17.8,174.9668,3668,137,0.34,1,414,22,19,427.6,3.51,175,1936,,26.86,0.154,16,224,48,69,1777,3
56,Tm,69,175,9.321,18.1,168.93422,2220,144,1.029,1.25,232,16.8,20,232.2,3.54,144,1818,,27.03,0.16,17,227,45,74,1812,14
57,La,57,195,6.15,22.5,138.90547,3730,215,0.47,1.1,402,8.5,32,431,3.75,139,1194,169,27.11,0.195,13.4,243,28,37,2260,3
58,As,33,115,5.75,13.1,74.921595,876,30,0.804,2.18,32.4,27.7,90,302.5,4.13,60,1090,121,24.64,0.329,50,185,22,8,1308,5
59,Sb,51,145,6.68,18.4,121.76,1908,43,1.046,2.05,195.2,20.08,91,264.4,4.51,121,903.9,139,25.23,0.207,24.43,206,42,55,1818,5
60,Sn,50,145,7.287,16.3,118.71,2543,53,1.112067,1.96,296,7.07,83,301.2,5.82,120,505.1,142,26.99,0.227,66.8,217,58,50,1623,4
61,B,5,85,2.34,4.6,10.81,3931,20.5,0.279723,2.04,504.5,23.6,86,565,8.73,11,2573,80,11.087,1.026,27.4,192,320,275,439,3
62,Ce,58,185,6.77,21,140.116,3699,205,0.65,1.12,398,5.2,31,420.1,5.16,140,1072,,26.94,0.192,11.3,242,22,34,2094,3
63,Bi,83,160,9.79,21.3,208.9804,1883,48,0.942362,1.9,172,11,92,209.6,4.75,184,544.5,151,25.52,0.122,7.9,207,31,32,2136,5
64,Se,34,115,4.809,16.5,78.971,958.1,28.9,2.02067,2.55,59.7,5.23,95,227.2,4.36,80,490,117,25.363,0.321,0.52,190,8.3,10,1638,6
65,Te,52,140,6.232,20.5,127.6,1263,38,1.970876,2.1,49.8,17.91,94,196.6,4.45,130,722.7,137,25.73,0.202,14.3,206,65,43,2044,6
66,Na,11,180,0.97,23.7,22.98976928,1156.1,162.7,0.547926,0.93,97.9,2.64,11,107.5,4.23,17,370.96,157,28.23,1.228,142,227,6.3,10,2375,1
67,Er,68,175,9.07,18.4,167.259,3136,150,0.312,1.24,317,19.9,22,316.4,3.56,166,1802,,28.12,0.168,15,229,44,70,1844,14
68,K,19,220,0.89,45.3,39.0983,1047,289.7,0.50147,0.82,2.33,102.5,10,89,5.23,39,336.8,203,29.6,0.757,79,275,3.1,4.1,4568,1
69,Pa,91,180,15.4,15,231.03588,4300,154,-0.5,1.5,481.2,16.7,35,563,3.92,211,2113,,27.5,0.099,47,243,157,150,1503,5
70,Pm,61,185,7.26,13,144.91276,3000,200,0.129,1.15,290,7.7,28,433,5.17,126,1441,,28,0.188,17.9,238,33,46,1996,7
71,Th,90,180,11.7,19.8,232.0377,5060,217,0.607,1.3,513.7,16.11,34,602,5.08,232,2028,,27.32,0.118,54,245,54,79,1979,4
